Kinase Name,Kinase Uniprot ID,Kinase Group,Kinase Family,Mean Significance Score,Mean Specificity Score,Median Final score,Max Final score,Median Kinase Statistic,Mean Kinase Statistic,SD Kinase Statitistic,Median Kinase Change,Mean peptide set size
MAPK15,Q8TD08,CMGC,MAPK,NA,0.027797161620935564,0.027797161620935564,0.027797161620935564,-0.7976317936543326,-0.7976317936543326,NA,NA,3
RPS6KL1,Q9Y6S9,OTHER,RSKL,NA,0.025750799465166327,0.025488551454526852,0.032452023781137915,-0.7895464742152326,-0.7895464742152326,0,NA,3
PKN1,Q16512,AGC,PKN,NA,0.030793209725378665,0.02502800570193105,0.07365755337434496,-0.8915867584387923,-0.9292578606990752,0.07742006571171942,NA,6
NPR2,P20594,RGC,RGC,NA,0.0391540651316641,0.020451625295904902,0.0830199526796178,-0.933066488993428,-0.8655557015873121,0.2642682354882464,NA,5
CDK17,Q00537,CMGC,CDK,NA,0.018459403419800346,0.018634490921455603,0.022276394711152253,-0.7734979675527048,-0.776050425276207,0.0057074689794453055,NA,3
GSK3B,P49841,CMGC,GSK,NA,0.024110736130703744,0.018634490921455603,0.07058107428570728,-0.8652611933786247,-0.8788386176931711,0.04073227294363905,NA,5
TEX14,Q8IWB6,OTHER,NKF5,NA,0.014750590031645848,0.017728766960431602,0.018634490921455603,-0.6820259570541629,-0.6820259570541629,0,NA,3
CDKL2,Q92772,CMGC,CDKL,NA,0.017281236605906344,0.017278728509312422,0.019542107723899943,-0.7744864324347706,-0.7750850117429541,0.0014662138756377432,NA,3
CDK11A,Q9UQ88,CMGC,NA,NA,0.031445936946086675,0.01592296609716924,0.07058107428570728,-0.8326139733149663,-0.8773831777700781,0.05611235095483878,NA,4
CDK18,Q07002,CMGC,CDK,NA,0.01322826573375516,0.01322826573375516,0.01322826573375516,-0.7790983848729531,-0.7790983848729531,NA,NA,4
CDK2,P24941,CMGC,CDK,NA,0.013710176839423754,0.010550182333308195,0.0381045263321496,-1.015416250333282,-1.0010454083497526,0.04267089975206821,NA,13
MAK,P20794,CMGC,RCK,NA,0.009662053320406674,0.009662053320406674,0.010550182333308195,-0.6358555309793245,-0.6358555309793245,0,NA,3
CDKL5,O76039,CMGC,CDKL,NA,0.008458116234786714,0.008777541950983342,0.01322826573375516,-0.8437899954198398,-0.7812135971596794,0.13737334850352326,NA,6
MAPK14,Q16539,CMGC,MAPK,NA,0.017581704546354916,0.00877392430750515,0.042871802323186915,-1.0019947383397942,-1.003095351316849,0.012604339505969604,NA,12
GSK3A,P49840,CMGC,GSK,NA,0.002989496979702343,0.0034883278458213473,0.004364805402450088,-0.49546503732945496,-0.49546503732945496,0,NA,3
DYRK1A,Q13627,CMGC,DYRK,NA,0.0034895059114505647,0.0030509717242540187,0.005243055412371883,-0.5331302139392653,-0.5656941145205105,0.05044777785548675,NA,3
MAPK12,P53778,CMGC,MAPK,NA,0.003697981446479639,0.00261361560268669,0.01322826573375516,-0.818704768993341,-0.8226799998954762,0.08585402079082584,NA,9
MAPK9,P45984,CMGC,MAPK,NA,0.012235009701460268,0.00261361560268669,0.05749589383191927,-0.9966311470951944,-1.0120137717893576,0.051329199298650444,NA,17
MAPK1,P28482,CMGC,MAPK,NA,0.0012572421481277282,0.00174066157630127,0.00261361560268669,-0.9285472154035702,-0.9036913782806071,0.07518478502864825,NA,15
MAPK13,O15264,CMGC,MAPK,NA,0.005563725584113613,8.694587126288914e-4,0.033389013318065645,-0.9352216763525768,-0.9381285555004744,0.04595058717792439,NA,15
MAPK7,Q13164,CMGC,MAPK,NA,0.0011635691969974155,8.694587126288914e-4,0.0061230850587887945,-0.8553364914260624,-0.8161728160136532,0.08586650405643217,NA,11
MAPK10,P53779,CMGC,MAPK,NA,3.864260945017295e-4,0,8.694587126288914e-4,-0.9631595456180668,-0.9614887248325777,0.007258142927944859,NA,21
MAPK3,P27361,CMGC,MAPK,NA,3.8661988906211694e-4,0,0.00174066157630127,-0.8515383944391772,-0.88195913691042,0.06188918150320671,NA,17
MAPK8,P45983,CMGC,MAPK,NA,3.864260945017295e-4,0,8.694587126288914e-4,-0.9631595456180668,-0.9620499389168312,0.007158709595437308,NA,22
